scale,method,execution_time,success_rate,throughput,total_decisions
Small,CPU(1),18.6159495,0.75,53.71737820840135,1000
Small,CPU(8),4.291540458,0.85,233.01656125270065,1000
Small,GPU,4.396035,0.85,227.47771571427432,1000
Medium,CPU(1),37.299164875,0.8857142857142857,70.37691081816747,2625
Medium,CPU(8),9.734918667,0.8,269.6478614555229,2625
Medium,GPU,9.662870333,0.8,271.65841096255554,2625
Large,CPU(1),55.326633583,0.84,90.37238805609041,5000
Large,CPU(8),10.328947,0.88,484.0764503874403,5000
Large,GPU,10.057226791,0.88,497.1549418050704,5000
